id,action_level,source_name,published_at,collected_at,page_type,title,relevance_reason,deadline_text,url
176,background,ZOL.ru - зерновые новости,,2026-05-14T07:12:26.387943+00:00,news_background,Новости рынка масличных,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://www.zol.ru/news/oil/
174,background,ГИСП - меры поддержки АПК,,2026-05-14T07:12:23.772844+00:00,measure_card,"Субсидии на возмещение части прямых понесенных затрат на создание и модернизацию объектов агропромышленного комплекса, а также на приобретение техники и оборудования","Мера поддержки распознана как неактивная, поэтому документ остается в справочном или наблюдаемом блоке.",,https://gisp.gov.ru/nmp/measure/8130026
173,background,ГИСП - меры поддержки АПК,,2026-05-14T07:12:21.879937+00:00,measure_card,Льготный лизинг высокотехнологичного оборудования и техники (АПК),"Мера поддержки распознана как неактивная, поэтому документ остается в справочном или наблюдаемом блоке.",,https://gisp.gov.ru/nmp/measure/12447840
172,background,ГИСП - меры поддержки АПК,,2026-05-14T07:12:20.959881+00:00,measure_card,Компенсация затрат на создание и модернизацию объектов АПК,"Мера поддержки распознана как неактивная, поэтому документ остается в справочном или наблюдаемом блоке.",,https://gisp.gov.ru/nmp/measure/9621029
169,background,ГИСП - меры поддержки АПК,,2026-05-14T07:12:18.058857+00:00,measure_card,"Софинансирование инжиниринговых услуг МСП Томской области, осуществляющим деятельность в сфере АПК","Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://gisp.gov.ru/nmp/measure/12447885
168,background,ГИСП - меры поддержки АПК,,2026-05-14T07:12:17.230478+00:00,measure_card,"Льготные заёмное финансирование РФРП Ульяновской области по программе ""Финансирование АПК"".","Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://gisp.gov.ru/nmp/measure/12446930
100,background,Минсельхоз Ростовской области - господдержка,,2026-05-14T07:09:11.546298+00:00,section_page,Программа льготного лизинга от АО «Росагролизинг»,"Страница распознана как справочная, категорийная или архивная, поэтому не может быть повышена выше watchlist даже при наличии слов про субсидии, отборы или постановления.",,https://mcx.donland.ru/activity/72821/
90,background,Минсельхоз Краснодарского края - субсидирование и финансирование,,2026-05-14T07:08:14.301616+00:00,reference_page,Приказы минсельхоза Краснодарского края,"Страница распознана как справочная, категорийная или архивная, поэтому не может быть повышена выше watchlist даже при наличии слов про субсидии, отборы или постановления.",,https://msh.krasnodar.ru/documents/prikazy-minselkhoza-krasnodarskogo-kraya
9,background,Минсельхоз России - меры господдержки,,2026-05-14T07:07:02.718214+00:00,news_background,Компенсация части затрат на приобретение семян,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://mcx.gov.ru/docs/69759/
8,background,Минсельхоз России - меры господдержки,,2026-05-14T07:07:02.700049+00:00,news_background,Компенсация части затрат на транспортировку продукции АПК,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://mcx.gov.ru/activity/state-support/measures/kompensatsiya-chasti-zatrat-na-transportirovku-produktsii-apk-nazemnym-v-tom-chisle-zheleznodorozhny/
7,background,Минсельхоз России - меры господдержки,,2026-05-14T07:07:02.682234+00:00,news_background,Субсидии производителям сельскохозяйственной техники,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://mcx.gov.ru/activity/state-support/measures/machinery-subsidy/
6,background,Минсельхоз России - меры господдержки,,2026-05-14T07:07:02.664382+00:00,news_background,"Компенсация части прямых понесенных затрат на создание и (или) модернизацию объектов АПК, а также на приобретение и ввод в промышленную эксплуатацию маркировочного оборудования для внедрения обязательной маркировки отдельных видов молочной продукции","Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://mcx.gov.ru/activity/state-support/measures/building-compensation/
